Column1;Column2;Column3
Name;Time;Content
Nastititanya Widetasha;2 months ago;I've been there 3 times and every visit was always memorable. The place was clean, very well-maintained, and it had spacious territory. My visit at Jatim Park 2 was a thrilling experience. It's kinda sanctuary that provided us with a chance …
Aurelius Evan;3 months ago;"2nd time visit for eco green park which focuses on aviary.
one of the best animal sanctuary and aviary there is. large area and numerous attractions. …"
Surynto Hr;6 months ago;one of the mandatory tourist destinations in Batu City, Malang for families, friends and couples. a place that is always busy every day. presents unique views and a variety of world transportation goods from ancient times, starting from …
Tasya Myanti;10 months ago;Jawa Timur Park 2 is a very suitable place to be a family tourism destination.  The place is very spacious, clean and nice.  The animal collection is quite complete, ranging from reptiles, birds and mammals.  Besides being able to see …
Yasir Muchtar;6 months ago;An amazing place to go with family and friends, even tough we went on holiday, it isnt as crowded and we still can enjoy seeing the animals. …
F Denny Music Channel;2 months ago;The best zoo, playground, and knowledge place for everyone....in Jawa Timur Indonesia
PyzzaBox;a week ago;A bit pricey. Customer Service needs to be enhanced. Better air circulation on toilet is needed.
Aiziah Ayu P;a year ago;The place is comfortable and clean. Parking is very spacious, there is also a car wash in it. There are a lot of places to eat, just choose according to your budget, suggestions to bring your own snacks are more economical. The elevator …
Hugo Pui;a year ago;This park is placed with 4 different places you can visit, the zoo, the museum, the SMS (Selfie) and the eco park but the rain made it difficult for us to do all the activities given, but this would be a fun family trip if the weather is nice.
Michelle;7 months ago;Great place for recreation purposes. A lot of facilities and animals to look for. Large area, 7 hours of visit is not enough for me alone. Worth the money.
David Jingga;9 months ago;"In this park is mostly zoo, swimming pool, and rides / play area.
Might not be the best zoo in the country, but acceptable.
Animals are well taken care of. …"
Cindy Tang;a year ago;wide range of well-fed, well-cleaned animals! well maintained facility and they keep improving and adding new attractions. with 140k rupiah only, one can enjoy museum, ecopark, zoo, waterboom and theme park at the same time. really worth to visit! so proud that there is a place like this in Indo
Rika Sandi;a year ago;Amazing zoo that we love to spend our Malang Holiday. We just walk and seeing animals closely 🙂 We love it for the 1st visit and my kids always want to go back. It is quite a big zoo, they also provide e bike for you esp with younger children or elderly. …
Krishna Handoyo;2 years ago;Very great place to hang out with family especially bringing children. Its located in Batu, Malang, very easy to find its place. I can say this place is very complete and fun educational package. Animals collections here are very rare and …
David Liang;a month ago;Very good! In the scale of Indonesian Amusement Park and Zoo, it is very good! But it can be much more better. Things like pelican boat tour, 11.30 am and they still clean it up. Not ready yet for visitors to sit because of wet. We have to wait around 15 minutes for them to dry the boat seats.
shahira nazira;2 years ago;I've always enjoyed going to zoos in Indonesia because of 3 reasons. Very informative, have multiple parks and animals are well treated. …
Michael Tulus;a year ago;Very large and full of things to see. Spent 7 hours and still only managed to experience 90% of the zoo and museum, didn't get to try Eco Green park or the petting zoo despite those being included with the ticket (140.000 Rupiah, well worth …
Sumaja Sumaja;11 months ago;"Came at bad time. Super crowded. Lots of school study tour group. Went home when we reach e-bike counter (about 25% of the journey)
Ebike cost 150k IDR per 3 hours. Didn't rent it because the super crowded …"
Imam Gunawan;2 years ago;Visit here during fast month, which you could guess that little visitor comes by, we had exciting moment during our trip, the secret zoo is one of the best attraction on Jatim park 2, even better than Singapore zoo in my opinion, the museum …
redtesha;4 years ago;A cool place for kids, family tours and education about animals. Ticket prices of 120 thousand and 150 thousand rupiah. I am happy with this place, very pleasant. museums about animals are also very good. the place is clean, children also …
Althaf Altezza;4 years ago;largest tourist area around the Batu City. has a theme of playing and learning. a lot of rare animals that can be watched. the facilities available are very complete. Very spacious parking location. You can see a lot of animals that you …
Rai Indah Nurbani;a year ago;I had a joyful experience visiting Jatim Park 2 last March. It has great collection of animals and they all seem to be taken care of well (to my relief). Aside from sightseeing, you can also enjoy the water park (for kids), theme park (I …
Risky Joyo Seputro;5 years ago;I think this is one of the best zoo I have ever visited. It has lots and lots of different animals from all across the world. The design of the walking path for the visitors is superb. Visitors just need to follow the path to see displays …
Gracia Irena;6 years ago;"A great modern zoo. Animals are exotics. They take care the animals very good. All seems fat and healthy. The area also design nicely so you just need to follow the path. They have a rent e-bike; convenient for those who can't walk much. …"
Dwi Indarti;2 days ago;Jatim park 2 is the best place to visit when you are in Batu Malang
Dany;a year ago;Overall it was OK. Many animals was not there in the enclosure, IDK Why. Problem is, there are many duplicated enclosure, i.e I saw like 5 different Nutria enclosure. They need more species like capybara and marmot to make it more …
Arien Citra;2 weeks ago;"We go through Jatim Park Drive Thru.
It's a new experience, we fed the animals that came closer to us, and also the animal in the cage. …"
FX Thao Feng;5 years ago;A great place for leisure and vacation, either for family, school, or even office team building activity. The main attraction is, of course, Batu Secret Zoo. The zoo is totally different with other Zoo in Indonesia that I've visited. There …
Jeffrey Rumayar;2 years ago;Family Time Spending vacation time with family, educational tours to get to know animals from various parts of the world. …
Leonny;a year ago;Heard about Secret Zoo and how it's better than Singapore Zoo. When we got there (29 December), we agreed that yes it is indeed nice and with rides available, at no added price to the admission ticket, it sure is worth it. …
Elizabeth Rusli;8 months ago;Very recommended for tourism, especially those who like animals. We can interact with certain animals, it is very suitable to bring the family for a vacation there, there are many attractions for children, there are also lots of food that …
Aulia Sheilla Diba;a year ago;Great place to spend holidays with family, lokasi strategis, great food and drinks with affordable prices. Wheel chair and baby stroller friendly. Amazing exotic animals, great service, clean and cozy. Would definitely come again next holiday!
Ciptadi;6 years ago;Jawa Timur 2 is another Jawa Timur Park that is VERY big area. I only got to visit 2 places, the museum and the zoo. …
Alief;2 years ago;Amazing modern zoo with reasonable ticket’s prices. Very educative, not only for kids but for the adults too. Various kind of animals available from all over the world, from African Savannah to South American tropical jungle. The big cats …
Veren;a year ago;An excellent place to spend time with your loved ones. The food, drink, snack price still reasonable and you can say it’s very cheap comparing to others. …
Hazel Nadine;4 years ago;It was very fun and educational, especially if you have children with you or love animals! The park consists of Batu Secret Zoo, Museum Satwa, Eco Green Park (bird park), and Secret Memories Selfie (place to take pictures). The animals were …
Hubbi NM;5 years ago;This must be the best zoo anywhere in the country. A spectacular recreation park for all ages, Batu Secret Zoo boasts more than 14 hectares of zoo, rides, food courts, and everything else. The zoo is complete with exotic animals from the …
kedu susu;2 weeks ago;Bersih... keep it up the goodworks👍👍 …
Gervasius Bayu;4 months ago;"basically a zoo
good places to be with your family"
libratus;6 years ago;Fabulous place . Quite a lot for its collection of animals. Wonderful children's play land: Fantasy land, Happy land, Moo moo land. Swimming pool also available here. The collection of its animal museum is also complete. The right place for families during school holidays. Entertaining and educating as well.
Anastasia Yosi;5 years ago;"This place is my heaven!
It has a lot of animals and there is a FREE mini play park! It's included in the super cheap entrance fee. …"
Devina Sutanto;2 years ago;Kids 12 years bellow is allowed to be inside. Ticket is only 110K per person, kid over 85cm if I'm not mistaken is also counted as one person ticket. Many kinds of animals and you can see it upclose, you can also take photos with the animal …
Clarissa Euvenia;2 years ago;Awesome place! Great experience! never disappointed with this place. The parking lot is wide enough, the location is easily found. Jatim park 2 is very spacious, I went here from 10 and just able to find way out almost at 5. It's so worth …
Munir Ahmad;6 years ago;The zoo is very good, I like the flowing concept in which people will see all animals exhibited. Please be prepare that you will have hundreds of kindergarten kids visiting this place with you. …
Arcva Putra;6 years ago;Jatim Park 2 is a great place to visit. I had a good mood in here. Many attraction in here and not so far from my hotel. Beautiful views and always full people visit this place along the holiday. Now I was here when Easter,  and the places so crowded. I love this place so much. Very recommend to you to full happiness with your family.
